Date,Open,High,Low,Price,Volume,Change %
12/1/2021,56891.7,59064.3,56496.5,57210.3,66.75K,0.58%
11/30/2021,57795.2,59174.4,55936.9,56882.9,73.66K,-1.58%
11/29/2021,57288.1,58855.2,56726.7,57794.8,58.65K,0.88%
11/28/2021,54758,57392.3,53448.3,57291.5,49.28K,4.61%
11/27/2021,53747.2,55280.3,53654.3,54765.9,40.71K,1.93%
11/26/2021,58937.3,59151.1,53533.5,53730.9,104.03K,-8.83%
11/25/2021,57167.1,59387.3,57029.8,58935.1,56.79K,3.08%
11/24/2021,57559.4,57697.4,55910.6,57171.7,56.68K,-0.70%
11/23/2021,56304.8,57855.1,55542.5,57573.2,72.48K,2.25%
11/22/2021,58719.7,59288.3,55656.8,56308.8,76.45K,-4.10%
11/21/2021,59724,60002.6,58528.3,58714.3,40.98K,-1.68%
11/20/2021,58080.8,59854.6,57435.3,59717.6,44.53K,2.81%
11/19/2021,56908.3,58335.9,55626.3,58083.4,74.44K,1.98%
11/18/2021,60368.2,60936.9,56524.4,56955.3,100.37K,-5.65%
11/17/2021,60074.2,60814.5,58531.9,60367.8,73.93K,0.46%
11/16/2021,63605.1,63605.6,58655.9,60089.1,115.36K,-5.52%
11/15/2021,65514.9,66311.2,63439.5,63597.9,53.53K,-2.92%
11/14/2021,64397.2,65508.2,63608.3,65508.2,33.98K,1.72%
11/13/2021,64133.3,64906,63381.4,64398.6,30.34K,0.41%
11/12/2021,64782.6,65449.7,62309.7,64134.5,63.27K,-1.04%
11/11/2021,64922.8,65583.3,64121.9,64806.7,50.37K,-0.19%
11/10/2021,66942.6,68990.6,62951.3,64932.6,96.21K,-2.95%
11/9/2021,67528.7,68493.3,66334.9,66904.4,66.13K,-0.92%
11/8/2021,63276.4,67763.3,63276.4,67527.9,81.08K,6.72%
11/7/2021,61483.8,63273.2,61347.2,63273.2,34.34K,2.91%
11/6/2021,60973.2,61543.2,60093.6,61483.9,34.89K,0.84%
11/5/2021,61411.5,62560.3,60742.4,60974.3,44.46K,-0.71%
11/4/2021,62915.4,63077.6,60742.9,61412.6,49.91K,-2.39%
11/3/2021,63223.5,63508.6,60883,62918.5,61.05K,-0.48%
11/2/2021,60912.2,64256.4,60651.5,63221.7,65.26K,3.79%
11/1/2021,61310.1,62430.1,59612.7,60915.3,61.21K,-0.64%
10/31/2021,61842.2,62393.7,60005.7,61309.6,50.06K,-0.86%
10/30/2021,62245,62338.5,60786,61840.1,40.51K,-0.65%
10/29/2021,60579.9,62952.2,60322.2,62242.8,63.39K,2.74%
10/28/2021,58437.2,62251.3,58128.1,60582.5,88.47K,3.67%
10/27/2021,60312.5,61452.9,58112.6,58438.1,88.11K,-3.11%
10/26/2021,63067.5,63275.1,59907.3,60310.8,57.13K,-4.37%
10/25/2021,60864.3,63694.8,60655.8,63067,51.06K,3.62%
10/24/2021,61308.2,61469.9,59523.7,60866.5,42.67K,-0.73%
10/23/2021,60693.2,61728.7,59738.3,61312.5,37.05K,1.03%
10/22/2021,62200.8,63699.7,60055.7,60690.3,75.69K,-2.44%
10/21/2021,66004.6,66616.9,62092.1,62210.2,105.38K,-5.71%
10/20/2021,64276.9,66967.1,63543.7,65979.1,79.87K,2.65%
10/19/2021,62030.2,64454,61451,64278.5,80.16K,3.58%
10/18/2021,61525.8,62623.6,60026.9,62056.3,80.15K,0.86%
10/17/2021,60865.5,61651.4,59143.4,61527.5,53.39K,1.09%
10/16/2021,61669.2,62329.2,60161.9,60861.1,49.93K,-1.32%
10/15/2021,57348.2,62892.8,56874.8,61672.5,121.48K,7.54%
10/14/2021,57370.4,58506.5,56866.8,57345.8,59.84K,-0.06%
10/13/2021,56014.5,57697.4,54314.4,57380.1,73.62K,2.44%
10/12/2021,57480.6,57635.7,54155.4,56015.9,74.85K,-2.54%
10/11/2021,54686.9,57814.1,54457.8,57477.3,73.84K,5.10%
10/10/2021,54942.5,56432.2,54100.8,54687.7,104.43K,-0.46%
10/9/2021,53924.1,55430.8,53711.7,54942.5,64.65K,1.91%
10/8/2021,53785.5,55977.9,53659.3,53914.7,64.05K,0.24%
10/7/2021,55325.2,55325.6,53476.4,53783.9,75.68K,-2.78%
10/6/2021,51470,55676.1,50439.5,55323.2,116.26K,7.49%
10/5/2021,49229.5,51872.4,49060.1,51469.3,76.63K,4.55%
10/4/2021,48200.4,49481.7,46958.6,49227.3,66.92K,2.13%
10/3/2021,47665.4,49165.2,47123,48200.1,42.41K,1.12%
10/2/2021,48147.2,48306.9,47451.7,47666.9,39.82K,-1.00%
10/1/2021,43824.4,48435.2,43292.9,48146,94.66K,9.86%
9/30/2021,41534.5,44101.2,41416.7,43823.3,64.32K,5.50%
9/29/2021,41023.1,42571.2,40815,41536.8,48.21K,1.25%
9/28/2021,42169.9,42758.8,40906.4,41022.3,60.01K,-2.73%
9/27/2021,43200.9,44293.2,42143.9,42172.6,54.12K,-2.39%
9/26/2021,42685.8,43907.3,40786.6,43203.4,69.91K,1.21%
9/25/2021,42818.7,42959.3,41714.5,42686.8,46.35K,-0.31%
9/24/2021,44867.4,45112,40908.5,42819.9,128.88K,-4.57%
9/23/2021,43550.7,44949.8,43090.1,44869.2,74.54K,3.03%
9/22/2021,40660.8,43976.7,40585.7,43551.6,93.98K,7.13%
9/21/2021,43012.3,43619.3,39646.8,40651.3,142.55K,-5.18%
9/20/2021,47240.8,47323.9,42547.1,42870.6,77.96K,-9.25%
9/19/2021,48299.9,48341.9,46866.6,47238.7,41.98K,-2.21%
9/18/2021,47283.9,48761,47070.5,48306.7,43.64K,2.17%
9/17/2021,47748.2,48155.9,46788.8,47282.8,50.16K,-0.97%
9/16/2021,48132.3,48480.6,47040.3,47748,60.91K,-0.80%
9/15/2021,47070.8,48436.5,46743.9,48130.6,63.40K,2.24%
9/14/2021,44950.2,47247.6,44718.7,47077.5,65.33K,4.73%
9/13/2021,46060.8,46807.7,43463.2,44949.5,96.15K,-2.42%
9/12/2021,45162.6,46386.4,44755.2,46062.3,44.52K,1.99%
9/11/2021,44844.9,45975.6,44766.6,45161.9,41.58K,0.71%
9/10/2021,46385.9,47021.6,44283.6,44842.8,75.62K,-3.33%
9/9/2021,46057.6,47305.7,45609,46385.6,73.63K,0.70%
9/8/2021,46774.1,47316.9,44493.7,46061.4,100.48K,-1.54%
9/7/2021,52674.2,52885.3,43072.4,46779.6,187.56K,-11.19%
9/6/2021,51769.4,52726.2,51002.8,52672.1,69.46K,1.75%
9/5/2021,49918.7,51878.2,49492.4,51768.6,57.30K,3.71%
9/4/2021,49999.3,50534.6,49461.4,49918.4,48.14K,-0.16%
9/3/2021,49269.5,51008.8,48377.3,49999,88.08K,1.47%
9/2/2021,48817.8,50355.3,48612.9,49274.3,80.21K,0.93%
9/1/2021,47129.2,49121,46533.1,48819.4,74.38K,3.58%
8/31/2021,46989.1,48217,46709.3,47130.4,71.48K,0.29%
8/30/2021,48777.1,48886,46876.9,46992.7,61.68K,-3.66%
8/29/2021,48899.7,49621.7,47870.1,48777.4,47.62K,-0.24%
8/28/2021,49062.8,49289.4,48428.5,48897.1,36.73K,-0.34%
8/27/2021,46830.2,49142,46371.5,49064.3,62.47K,4.77%
8/26/2021,48994.4,49347.8,46360.4,46831.6,73.79K,-4.41%
8/25/2021,47707.4,49230.2,47163.3,48994.5,63.54K,2.68%
8/24/2021,49532.5,49847.4,47623.6,47714.7,74.26K,-3.68%
8/23/2021,49255.4,50498.8,49038.6,49539.7,75.37K,0.58%
8/22/2021,48870.4,49480.3,48151,49254.5,49.32K,0.77%
8/21/2021,49330,49719.1,48293.5,48875.8,18.20K,-0.91%
8/20/2021,46756.7,49343.3,46646.8,49324,83.19K,5.49%
8/19/2021,44725.9,47012.3,43986.7,46755.9,77.92K,4.54%
8/18/2021,44691.1,46004.9,44230,44723.8,22.36K,0.07%
8/17/2021,45907.5,47140.6,44441.3,44691.6,84.14K,-2.84%
8/16/2021,46991.6,48002.4,45672.1,45996.3,2.41K,-2.12%
8/15/2021,47082.6,47344.1,45564.1,46991.3,58.11K,-0.19%
8/14/2021,47809.6,48090.9,46117.2,47081.5,64.29K,-1.52%
8/13/2021,44404,47836,44242.4,47809.1,75.27K,7.67%
8/12/2021,45562.3,46213.8,43814.7,44403.4,81.07K,-2.55%
8/11/2021,45593.2,46736.5,45367.9,45564.3,75.43K,-0.06%
8/10/2021,46281.8,46663.4,44681.2,45593.8,80.55K,-1.49%
8/9/2021,43794.9,46460.7,42824.1,46284.3,117.08K,5.69%
8/8/2021,44584.9,45284.1,43314.4,43792.8,105.25K,-1.84%
8/7/2021,42784.7,44697.3,42611,44614.2,112.84K,4.25%
8/6/2021,40868.4,43253.4,39905.4,42795.4,111.93K,4.72%
8/5/2021,39734.4,41366.3,37365.4,40867.2,130.60K,2.84%
8/4/2021,38188.4,39956.5,37556,39736.9,79.22K,4.21%
8/3/2021,39167.4,39766.6,37688.2,38130.3,0.26K,-2.65%
8/2/2021,39869.8,40449,38692.5,39168.4,74.81K,-1.78%
8/1/2021,41510,42565,39556.5,39878.3,80.33K,-4.03%
7/31/2021,42201.4,42285.3,41066.4,41553.7,44.65K,-1.54%
7/30/2021,40001.1,42264.4,38358.4,42203.4,98.45K,5.50%
7/29/2021,40009,40630.7,39340.8,40001.4,75.30K,0.00%
7/28/2021,39450.4,40862.2,38883.8,40003.2,148.92K,1.40%
7/27/2021,37294.3,39455.9,36427.4,39452,100.24K,5.84%
7/26/2021,35392.3,40522.9,35236.7,37276.6,177.63K,5.33%
7/25/2021,34392.5,35391.1,33881.3,35391.1,65.10K,4.63%
7/24/2021,33600.5,33955,33412.9,33824.8,67.14K,0.66%
7/23/2021,32297.9,33605.6,32041.1,33603.3,66.15K,4.04%
7/22/2021,32131.7,32585.4,31729.4,32298.9,64.87K,0.52%
7/21/2021,29794.7,32794.6,29519.3,32131.4,118.34K,7.85%
7/20/2021,30835.4,31040.8,29310.2,29793.8,97.46K,-3.38%
7/19/2021,31782.9,31887,30478.2,30837.2,77.48K,-2.98%
7/18/2021,31517.9,32408.2,31220.6,31785.4,57.01K,0.85%
7/17/2021,31384.4,31914.8,31207.8,31518.6,58.06K,0.40%
7/16/2021,31842.3,32239.8,31062.2,31394,70.48K,-1.40%
7/15/2021,32820.5,33157,31175.8,31840.5,76.95K,-2.99%
7/14/2021,32727.8,33051.9,31611.2,32820.7,69.56K,0.28%
7/13/2021,33106.1,33307.7,32259.5,32728.1,60.04K,-1.16%
7/12/2021,34228.3,34598,32662.8,33113,63.24K,-3.26%
7/11/2021,33510.8,34580.6,33319.8,34227.7,35.72K,2.14%
7/10/2021,33797.7,34221,33056.8,33510.6,50.94K,-0.85%
7/9/2021,32866.3,34079.2,32367,33797.4,67.14K,2.83%
7/8/2021,33859.4,33923.2,32146.9,32866.3,108.09K,-2.96%
7/7/2021,34228.7,35036.6,33801.3,33867.8,72.03K,-1.05%
7/6/2021,33688.5,35062,33581.7,34225.6,83.63K,1.60%
7/5/2021,35297,35300.5,33164.1,33687.8,88.36K,-4.56%
7/4/2021,34742.8,35957.6,34740.1,35298.2,56.13K,1.60%
7/3/2021,33814.2,34909.8,33363.3,34742.8,55.69K,2.75%
7/2/2021,33542.2,33925.9,32734.6,33813.4,78.93K,0.80%
7/1/2021,35030.7,35032.7,32839.2,33543.6,27.41K,-4.23%
6/30/2021,35832.6,36089.5,34126.6,35026.9,107.07K,-2.25%
6/29/2021,34477.3,36590.3,34247.6,35834.7,97.27K,3.94%
